NA18574,NA18574,EAS,CHB,"Han Chinese in Bejing, China",female
NA18527,NA18527,EAS,CHB,"Han Chinese in Bejing, China",female
HG00717,SH094,EAS,CHS,"Southern Han Chinese, China",female
HG00542,SH042,EAS,CHS,"Southern Han Chinese, China",male
HG00704,SH090,EAS,CHS,"Southern Han Chinese, China",male
HG02046,VN056,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam",female
HG00983,HG00983,EAS,CDX,"Chinese Dai in Xishuangbanna, China",male
NA18946,NA18946,EAS,JPT,"Japanese in Tokyo, Japan",female
HG02409,HG02409,EAS,CDX,"Chinese Dai in Xishuangbanna, China",male
NA18947,NA18947,EAS,JPT,"Japanese in Tokyo, Japan",female
