HG00266,HG00266,EUR,FIN,"Finnish in Finland",female
HG00237,HG00237,EUR,GBR,"British in England and Scotland",female
HG00144,GBR001,EUR,GBR,"British in England and Scotland",female
NA20524,NA20524,EUR,TSI,"Toscani in Italy",male
NA12813,,EUR,CEU,"Utah residents with Northern and Western European ancestry",female
HG00235,HG00235,EUR,GBR,"British in England and Scotland",female
HG01709,IBS039,EUR,IBS,"Iberian populations in Spain",male
NA20762,NA20762,EUR,TSI,"Toscani in Italy",male
NA11918,,EUR,CEU,"Utah residents with Northern and Western European ancestry",female
NA11892,,EUR,CEU,"Utah residents with Northern and Western European ancestry",female
