HG00096,HG00096,EUR,GBR,"British in England and Scotland",male
HG00097,HG00097,EUR,GBR,"British in England and Scotland",female
HG00098,HG00098,EUR,GBR,"British in England and Scotland",male
HG00099,HG00099,EUR,GBR,"British in England and Scotland",female
HG00100,HG00100,EUR,GBR,"British in England and Scotland",female
HG00101,HG00101,EUR,GBR,"British in England and Scotland",male
HG00102,HG00102,EUR,GBR,"British in England and Scotland",female
HG00103,HG00103,EUR,GBR,"British in England and Scotland",male
HG00104,HG00104,EUR,GBR,"British in England and Scotland",female
HG00105,HG00105,EUR,GBR,"British in England and Scotland",male
HG00106,HG00106,EUR,GBR,"British in England and Scotland",female
HG00107,HG00107,EUR,GBR,"British in England and Scotland",male
HG00108,HG00108,EUR,GBR,"British in England and Scotland",male
HG00109,HG00109,EUR,GBR,"British in England and Scotland",male
HG00110,HG00110,EUR,GBR,"British in England and Scotland",female
HG00111,HG00111,EUR,GBR,"British in England and Scotland",female
HG00112,HG00112,EUR,GBR,"British in England and Scotland",male
HG00113,HG00113,EUR,GBR,"British in England and Scotland",male
HG00114,HG00114,EUR,GBR,"British in England and Scotland",male
HG00115,HG00115,EUR,GBR,"British in England and Scotland",male
HG00116,HG00116,EUR,GBR,"British in England and Scotland",male
HG00117,HG00117,EUR,GBR,"British in England and Scotland",male
HG00118,HG00118,EUR,GBR,"British in England and Scotland",female
HG00119,HG00119,EUR,GBR,"British in England and Scotland",male
HG00120,HG00120,EUR,GBR,"British in England and Scotland",female
HG00121,HG00121,EUR,GBR,"British in England and Scotland",female
HG00122,HG00122,EUR,GBR,"British in England and Scotland",female
HG00123,HG00123,EUR,GBR,"British in England and Scotland",female
HG00124,HG00124,EUR,GBR,"British in England and Scotland",female
HG00125,HG00125,EUR,GBR,"British in England and Scotland",female
HG00126,HG00126,EUR,GBR,"British in England and Scotland",male
HG00127,HG00127,EUR,GBR,"British in England and Scotland",female
HG00128,HG00128,EUR,GBR,"British in England and Scotland",female
HG00129,HG00129,EUR,GBR,"British in England and Scotland",male
HG00130,HG00130,EUR,GBR,"British in England and Scotland",female
HG00131,HG00131,EUR,GBR,"British in England and Scotland",male
HG00132,HG00132,EUR,GBR,"British in England and Scotland",female
HG00133,HG00133,EUR,GBR,"British in England and Scotland",female
HG00134,HG00134,EUR,GBR,"British in England and Scotland",female
HG00135,HG00135,EUR,GBR,"British in England and Scotland",female
HG00136,HG00136,EUR,GBR,"British in England and Scotland",male
HG00137,HG00137,EUR,GBR,"British in England and Scotland",female
HG00138,HG00138,EUR,GBR,"British in England and Scotland",male
