Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABAT	gene	ABAT	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency 613163	137150						3		1.58			ENSG00000183044	ENSG00000183044	HGNC:23													
ACOX1	gene	ACOX1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency, 264470	609751						3		1.58			ENSG00000161533	ENSG00000161533	HGNC:119													
ACTB	gene	ACTB	Expert Review Green;South West GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	?Dystonia, juvenile-onset;Baraitser-Winter syndrome 1, 243310	102630			16685646			3		1.58			ENSG00000075624	ENSG00000075624	HGNC:132													
ADAR	gene	ADAR	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6, 615010;dystonia	146920			28139822;23001123			3		1.58			ENSG00000160710	ENSG00000160710	HGNC:225													
ADCY5	gene	ADCY5	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dyskinesia, familial, with facial myokymia, 606703;dystonia;Familial dyskinesia, 606703	600293			11310626;24700542			3		1.58			ENSG00000173175	ENSG00000173175	HGNC:236													
AFG3L2	gene	AFG3L2	South West GLH;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic ataxia 5, autosomal recessive 614487;Spinocerebellar ataxia 28 610246	604581						3		1.58			ENSG00000141385	ENSG00000141385	HGNC:315													
ALDH18A1	gene	ALDH18A1	Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cutis laxa, autosomal dominant 3 616603;Cutis laxa, autosomal recessive, type IIIA 219150;Spastic paraplegia 9A, autosomal dominant 601162;Spastic paraplegia 9B, autosomal recessive 616586	138250						3		1.58			ENSG00000059573	ENSG00000059573	HGNC:9722													
ANO3	gene	ANO3	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 24, 615034;familial form of cranio-cervical dystonia	610110			25847575;24151159 Low frequency missense variants in ANO3 occur in both cases and controls, warranting further assessment of this gene in PTD pathogenesis;23200863;24094724 Rare variants in ANO3 are not a susceptibility factor in essential tremor;27392807;24442708			3		1.58			ENSG00000134343	ENSG00000134343	HGNC:14004													
AP1S2	gene	AP1S2	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dystonia;Mental retardation, X-linked syndromic 5, 304340	300629			23756445;17617514;18428203			3		1.58			ENSG00000182287	ENSG00000182287	HGNC:560													
APTX	gene	APTX	PanelApp;Expert Review Green;London North GLH	Childhood onset dystonia or chorea or related movement disorder			BIALLELIC, autosomal or pseudoautosomal	Dystonia;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920	606350						3		1.58			ENSG00000137074	ENSG00000137074	HGNC:15984													
